,Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
832,20.0,7.0,3,Mobile,1,Married,8,0,2.0,134.2,No Churn
833,4.0,26.0,3,Laptop & Accessory,3,Married,2,0,0.0,169.32,No Churn
834,13.0,15.0,3,Laptop & Accessory,5,Married,1,0,1.0,154.73,No Churn
835,14.0,8.0,4,Laptop & Accessory,1,Married,6,0,4.0,190.13,No Churn
837,18.0,32.0,4,Laptop & Accessory,5,Married,2,0,5.0,143.85,No Churn
838,24.0,27.0,3,Laptop & Accessory,1,Single,1,1,0.0,154.41,No Churn
839,1.0,22.0,2,Laptop & Accessory,5,Single,1,0,7.0,156.61,No Churn
840,29.0,14.0,3,Mobile Phone,5,Married,5,1,2.0,142.57,No Churn
842,10.0,9.0,3,Laptop & Accessory,4,Single,4,0,1.0,141.07,No Churn
843,28.0,10.0,4,Laptop & Accessory,5,Divorced,4,0,6.0,184.4,No Churn
844,12.0,13.0,5,Laptop & Accessory,3,Married,4,0,8.0,178.21,No Churn
845,1.0,28.0,5,Mobile Phone,4,Single,3,1,1.0,146.21,Churn
846,10.0,14.0,2,Laptop & Accessory,5,Married,4,0,14.0,171.39,No Churn
847,1.0,20.0,4,Laptop & Accessory,5,Married,4,0,3.0,167.33,Churn
849,7.0,15.0,4,Fashion,4,Single,2,0,7.0,186.21,No Churn
850,4.0,26.0,3,Laptop & Accessory,3,Divorced,2,0,0.0,169.32,No Churn
852,8.0,7.0,5,Laptop & Accessory,5,Single,2,0,10.0,178.43,No Churn
853,3.0,30.0,2,Mobile Phone,3,Divorced,3,0,8.0,152.0,No Churn
854,11.0,23.0,5,Laptop & Accessory,3,Married,6,0,1.0,188.34,No Churn
855,13.0,22.0,3,Fashion,1,Single,7,1,3.0,179.45,No Churn
856,3.0,17.0,4,Mobile Phone,3,Single,3,0,1.0,151.42,No Churn
857,31.0,16.0,5,Mobile Phone,4,Divorced,6,1,1.0,158.46,No Churn
858,10.0,15.0,3,Fashion,4,Married,2,0,7.0,188.34,No Churn
860,1.0,16.0,4,Mobile Phone,5,Single,4,1,1.0,156.72,Churn
861,9.0,15.0,4,Laptop & Accessory,4,Married,3,1,2.0,188.47,No Churn
862,11.0,11.0,4,Mobile Phone,2,Married,6,0,9.0,25.0,No Churn
863,28.0,10.0,4,Grocery,1,Married,5,0,10.0,302.79,No Churn
864,11.0,6.0,1,Mobile,3,Married,2,0,0.0,128.44,No Churn
865,10.0,10.0,2,Laptop & Accessory,5,Married,8,0,5.0,193.42,No Churn
866,26.0,13.0,2,Grocery,3,Divorced,4,0,3.0,248.14,No Churn
867,23.0,6.0,3,Others,4,Married,4,1,7.0,281.72,No Churn
868,22.0,6.0,4,Grocery,3,Single,8,1,7.0,239.64,No Churn
869,10.0,11.0,4,Laptop & Accessory,4,Married,9,0,3.0,176.31,No Churn
870,1.0,21.0,5,Mobile Phone,4,Married,3,1,3.0,162.43,Churn
871,10.0,8.0,3,Laptop & Accessory,3,Divorced,5,1,0.0,196.02,No Churn
872,4.0,13.0,4,Fashion,3,Divorced,2,0,9.0,189.43,No Churn
873,8.0,6.0,3,Laptop & Accessory,3,Single,2,0,3.0,148.59,No Churn
874,12.0,8.0,5,Mobile Phone,5,Single,6,0,1.0,153.58,No Churn
875,1.0,9.0,4,Mobile Phone,5,Married,9,0,8.0,152.07,Churn
876,7.0,21.0,4,Mobile Phone,4,Married,3,0,7.0,152.56,No Churn
878,1.0,9.0,4,Mobile Phone,1,Married,2,0,2.0,150.23,No Churn
879,10.0,25.0,4,Laptop & Accessory,2,Single,4,0,10.0,202.79,No Churn
880,12.0,9.0,2,Laptop & Accessory,4,Divorced,10,0,6.0,163.89,No Churn
881,9.0,7.0,4,Laptop & Accessory,3,Single,3,0,4.0,173.59,No Churn
882,8.0,15.0,2,Laptop & Accessory,3,Married,3,0,9.0,192.99,No Churn
883,12.0,8.0,4,Laptop & Accessory,1,Married,9,0,10.0,172.35,No Churn
884,1.0,15.0,6,Mobile Phone,3,Divorced,3,0,3.0,171.21,No Churn
885,28.0,12.0,4,Others,5,Married,6,0,3.0,319.06,No Churn
886,2.0,7.0,6,Laptop & Accessory,2,Divorced,2,0,6.0,191.74,No Churn
887,3.0,6.0,3,Mobile Phone,4,Married,2,0,7.0,137.48,No Churn
888,4.0,17.0,5,Laptop & Accessory,3,Divorced,3,0,5.0,190.78,No Churn
891,17.0,13.0,4,Fashion,1,Married,4,0,17.0,202.48,No Churn
892,7.0,6.0,4,Fashion,3,Divorced,2,1,6.0,170.83,No Churn
893,8.0,8.0,3,Laptop & Accessory,4,Single,6,0,2.0,144.25,No Churn
894,16.0,9.0,4,Grocery,5,Divorced,2,0,8.0,301.65,No Churn
895,20.0,8.0,2,Grocery,5,Single,3,0,13.0,300.67,No Churn
898,29.0,33.0,2,Others,4,Married,6,1,5.0,321.36,No Churn
900,27.0,17.0,3,Grocery,1,Married,4,0,12.0,260.32,No Churn
901,3.0,9.0,5,Mobile Phone,5,Single,4,1,1.0,161.46,Churn
902,0.0,10.0,1,Laptop & Accessory,4,Married,2,1,3.0,161.42,No Churn
905,3.0,14.0,3,Fashion,3,Married,6,0,7.0,172.64,No Churn
906,4.0,29.0,5,Laptop & Accessory,3,Divorced,4,1,1.0,188.8,Churn
907,11.0,8.0,5,Laptop & Accessory,1,Married,3,1,3.0,154.05,No Churn
908,5.0,33.0,4,Mobile Phone,3,Married,3,0,4.0,154.11,No Churn
909,14.0,9.0,5,Laptop & Accessory,3,Married,8,0,1.0,159.48,No Churn
910,3.0,17.0,4,Mobile Phone,4,Married,2,0,2.0,157.91,No Churn
912,1.0,9.0,6,Mobile Phone,1,Married,7,1,3.0,159.64,Churn
913,31.0,10.0,5,Laptop & Accessory,2,Single,7,0,6.0,176.71,No Churn
914,15.0,11.0,4,Mobile Phone,3,Divorced,11,1,8.0,149.61,Churn
915,1.0,16.0,5,Laptop & Accessory,5,Single,9,0,4.0,159.07,Churn
916,14.0,12.0,3,Fashion,3,Single,2,0,7.0,192.41,No Churn
917,10.0,17.0,4,Fashion,5,Married,9,1,8.0,208.21,No Churn
918,1.0,22.0,4,Mobile Phone,3,Divorced,3,0,3.0,151.1,Churn
920,13.0,7.0,4,Others,3,Married,3,1,7.0,316.97,No Churn
921,13.0,8.0,3,Others,3,Married,1,0,9.0,294.36,No Churn
922,23.0,35.0,4,Grocery,3,Married,1,0,7.0,270.46,No Churn
924,21.0,9.0,4,Mobile Phone,3,Single,6,0,1.0,149.79,Churn
925,5.0,8.0,1,Laptop & Accessory,1,Single,8,0,7.0,150.55,No Churn
926,30.0,35.0,4,Grocery,2,Married,4,0,0.0,241.18,No Churn
927,1.0,10.0,4,Mobile Phone,3,Single,3,0,1.0,139.2,Churn
928,15.0,11.0,3,Others,3,Divorced,7,0,0.0,283.03,No Churn
930,13.0,9.0,4,Fashion,3,Single,2,0,9.0,234.38,No Churn
931,27.0,28.0,3,Grocery,3,Married,4,0,7.0,274.26,No Churn
932,9.0,14.0,3,Laptop & Accessory,1,Married,5,0,7.0,150.79,No Churn
933,11.0,7.0,4,Laptop & Accessory,4,Divorced,8,0,4.0,189.47,No Churn
934,1.0,14.0,4,Laptop & Accessory,3,Married,3,0,2.0,173.83,Churn
935,1.0,32.0,6,Mobile Phone,3,Single,3,0,2.0,147.93,Churn
936,3.0,7.0,3,Mobile Phone,4,Married,1,1,7.0,135.79,No Churn
939,2.0,8.0,3,Mobile,4,Married,1,0,2.0,131.8,No Churn
940,6.0,8.0,3,Laptop & Accessory,4,Single,9,0,7.0,151.47,No Churn
941,22.0,36.0,4,Fashion,3,Married,5,0,1.0,250.04,No Churn
942,27.0,7.0,4,Laptop & Accessory,5,Single,9,0,11.0,208.81,No Churn
943,23.0,7.0,5,Grocery,3,Single,9,1,8.0,264.64,No Churn
944,23.0,14.0,3,Mobile Phone,4,Divorced,8,0,2.0,138.75,No Churn
945,4.0,11.0,5,Laptop & Accessory,4,Married,3,1,8.0,177.09,No Churn
947,1.0,8.0,4,Mobile Phone,3,Single,2,0,3.0,158.75,No Churn
948,1.0,12.0,5,Fashion,1,Married,3,1,9.0,253.08,No Churn
949,19.0,9.0,6,Laptop & Accessory,3,Single,2,0,2.0,191.32,No Churn
950,14.0,16.0,4,Laptop & Accessory,3,Married,5,0,8.0,164.75,No Churn
952,3.0,8.0,4,Mobile Phone,1,Married,3,0,3.0,162.6,No Churn
954,28.0,10.0,3,Laptop & Accessory,3,Divorced,1,1,2.0,140.35,No Churn
955,6.0,9.0,4,Mobile Phone,5,Single,3,0,3.0,149.39,No Churn
956,16.0,19.0,4,Laptop & Accessory,1,Married,5,1,1.0,175.87,No Churn
957,0.0,7.0,4,Laptop & Accessory,5,Married,2,0,7.0,197.14,Churn
958,5.0,18.0,3,Grocery,5,Single,1,1,14.0,237.58,Churn
959,26.0,30.0,1,Fashion,1,Married,4,0,2.0,170.05,No Churn
960,26.0,13.0,3,Others,3,Married,4,0,7.0,286.06,No Churn
961,5.0,11.0,3,Mobile,4,Single,3,0,7.0,127.18,No Churn
965,13.0,29.0,4,Fashion,5,Single,3,1,9.0,233.8,No Churn
966,1.0,12.0,4,Mobile Phone,5,Single,3,1,3.0,148.8,No Churn
967,21.0,6.0,4,Others,2,Single,7,0,0.0,282.65,No Churn
969,1.0,18.0,4,Mobile Phone,4,Divorced,3,0,3.0,147.44,No Churn
970,22.0,8.0,5,Others,1,Single,8,0,1.0,307.65,No Churn
971,2.0,16.0,4,Mobile Phone,2,Divorced,3,0,5.0,145.7,No Churn
976,1.0,7.0,4,Laptop & Accessory,3,Divorced,3,0,8.0,177.96,No Churn
979,12.0,7.0,5,Fashion,3,Single,11,1,1.0,178.81,Churn
981,3.0,35.0,5,Mobile Phone,5,Single,3,0,5.0,162.85,No Churn
982,3.0,20.0,5,Laptop & Accessory,4,Married,6,1,4.0,165.25,No Churn
983,17.0,13.0,3,Others,1,Married,1,1,10.0,290.49,No Churn
985,24.0,11.0,4,Others,4,Married,5,0,7.0,316.44,No Churn
986,16.0,12.0,4,Mobile Phone,3,Divorced,6,0,1.0,145.93,No Churn
987,19.0,21.0,3,Others,4,Divorced,6,0,3.0,290.81,No Churn
988,11.0,8.0,3,Fashion,4,Single,8,0,0.0,173.51,No Churn
989,15.0,8.0,4,Mobile Phone,4,Married,5,0,0.0,148.41,No Churn
990,6.0,13.0,3,Laptop & Accessory,4,Divorced,1,0,2.0,143.02,No Churn
991,5.0,14.0,4,Fashion,1,Single,3,1,11.0,196.43,No Churn
992,15.0,12.0,2,Laptop & Accessory,4,Single,5,0,3.0,193.7,No Churn
993,1.0,15.0,3,Laptop & Accessory,1,Single,2,0,7.0,152.53,No Churn
994,1.0,18.0,5,Mobile Phone,5,Single,3,1,1.0,151.0,Churn
995,4.0,10.0,1,Mobile Phone,3,Married,9,0,2.0,139.78,No Churn
996,28.0,14.0,4,Laptop & Accessory,1,Married,6,0,8.0,193.54,No Churn
998,13.0,31.0,5,Grocery,1,Married,2,0,7.0,245.31,No Churn
999,9.0,15.0,2,Mobile Phone,1,Married,3,0,2.0,147.69,No Churn
1000,14.0,9.0,4,Mobile Phone,3,Married,4,0,3.0,148.45,No Churn
1002,1.0,5.0,5,Mobile Phone,4,Married,3,0,1.0,150.96,Churn
1004,3.0,30.0,4,Mobile Phone,2,Single,11,0,3.0,147.01,No Churn
1005,8.0,17.0,4,Mobile Phone,3,Married,3,1,1.0,163.15,No Churn
1006,11.0,14.0,4,Laptop & Accessory,5,Married,7,1,5.0,167.84,No Churn
1007,17.0,14.0,1,Mobile,2,Divorced,3,1,2.0,128.18,No Churn
1008,17.0,33.0,4,Grocery,1,Married,3,1,13.0,294.59,No Churn
1009,7.0,14.0,3,Laptop & Accessory,5,Divorced,6,0,2.0,165.0,No Churn
1010,0.0,10.0,3,Mobile,4,Single,2,0,2.0,132.95,No Churn
1011,1.0,16.0,4,Mobile Phone,5,Single,9,0,5.0,167.0,Churn
1012,19.0,9.0,3,Grocery,4,Divorced,9,0,1.0,266.06,No Churn
1013,3.0,22.0,3,Laptop & Accessory,3,Divorced,9,0,2.0,153.01,No Churn
1014,14.0,8.0,3,Grocery,5,Divorced,8,0,8.0,265.95,No Churn
1015,28.0,8.0,4,Grocery,1,Single,8,0,8.0,298.28,No Churn
1016,28.0,12.0,4,Others,5,Divorced,6,0,3.0,319.06,No Churn
1017,1.0,15.0,2,Laptop & Accessory,4,Married,2,0,3.0,173.51,No Churn
1018,25.0,6.0,3,Grocery,2,Divorced,3,0,8.0,270.99,No Churn
1019,1.0,8.0,3,Laptop & Accessory,4,Married,5,0,4.0,148.55,Churn
1020,3.0,16.0,4,Laptop & Accessory,3,Divorced,2,0,4.0,165.78,No Churn
1021,15.0,16.0,3,Mobile,3,Married,4,0,3.0,129.36,No Churn
1022,9.0,32.0,3,Laptop & Accessory,3,Married,7,0,2.0,153.47,No Churn
1023,12.0,17.0,4,Laptop & Accessory,3,Married,5,0,3.0,185.77,No Churn
1024,1.0,10.0,4,Laptop & Accessory,5,Divorced,3,1,4.0,166.94,No Churn
1025,5.0,9.0,4,Mobile Phone,2,Married,2,1,3.0,151.95,No Churn
1026,5.0,35.0,4,Mobile,4,Single,2,0,1.0,128.37,No Churn
1027,6.0,33.0,4,Laptop & Accessory,1,Married,2,0,3.0,169.65,No Churn
1028,18.0,14.0,4,Others,1,Married,2,1,11.0,315.49,No Churn
1029,13.0,15.0,4,Laptop & Accessory,1,Married,10,0,2.0,148.76,No Churn
1030,9.0,7.0,5,Mobile Phone,3,Married,8,0,8.0,147.58,No Churn
1031,9.0,32.0,5,Laptop & Accessory,2,Single,6,0,3.0,161.81,No Churn
1032,4.0,14.0,5,Mobile Phone,4,Married,3,0,2.0,146.41,No Churn
1033,8.0,14.0,3,Laptop & Accessory,3,Married,2,0,9.0,141.48,No Churn
1035,1.0,7.0,4,Mobile Phone,1,Single,3,1,9.0,151.86,Churn
1036,15.0,20.0,4,Laptop & Accessory,3,Single,8,0,3.0,162.44,No Churn
1038,24.0,13.0,4,Laptop & Accessory,3,Married,3,0,0.0,161.32,No Churn
1039,2.0,6.0,3,Fashion,1,Married,2,0,1.0,179.18,No Churn
1040,19.0,7.0,1,Grocery,5,Single,2,0,12.0,275.67,No Churn
1041,16.0,12.0,4,Laptop & Accessory,3,Single,2,1,8.0,140.81,No Churn
1042,21.0,16.0,4,Others,4,Married,5,0,9.0,296.65,No Churn
1043,2.0,8.0,3,Laptop & Accessory,1,Married,2,0,3.0,188.53,No Churn
1044,6.0,6.0,2,Grocery,3,Married,5,0,5.0,261.84,No Churn
1045,12.0,34.0,4,Laptop & Accessory,5,Single,4,0,3.0,142.84,Churn
1046,30.0,18.0,5,Laptop & Accessory,5,Married,6,0,1.0,178.8,No Churn
1047,12.0,11.0,4,Mobile Phone,3,Married,9,0,1.0,158.06,No Churn
1049,3.0,28.0,4,Laptop & Accessory,3,Married,3,1,0.0,163.8,Churn
1050,11.0,32.0,5,Laptop & Accessory,1,Married,9,0,4.0,182.31,No Churn
1051,0.0,7.0,3,Mobile,3,Single,1,0,2.0,133.75,No Churn
1052,3.0,22.0,6,Mobile Phone,1,Married,2,1,4.0,146.68,No Churn
1053,1.0,16.0,4,Mobile Phone,5,Single,3,0,1.0,150.52,No Churn
1054,8.0,14.0,3,Mobile Phone,3,Single,2,0,4.0,143.23,No Churn
1056,5.0,16.0,3,Mobile,3,Married,7,0,3.0,134.33,No Churn
1058,4.0,14.0,3,Grocery,4,Single,4,0,0.0,264.22,No Churn
1059,12.0,21.0,3,Grocery,5,Single,1,0,10.0,233.41000000000005,No Churn
1060,7.0,6.0,4,Mobile Phone,2,Divorced,2,1,3.0,136.22,No Churn
1061,12.0,30.0,3,Laptop & Accessory,1,Single,8,0,7.0,141.08,No Churn
1062,0.0,8.0,1,Mobile,5,Single,8,0,1.0,134.24,No Churn
1063,14.0,16.0,4,Laptop & Accessory,5,Married,2,0,2.0,179.73,No Churn
1064,18.0,8.0,4,Grocery,2,Divorced,10,0,8.0,267.92,No Churn
1066,11.0,26.0,4,Laptop & Accessory,3,Married,5,0,3.0,182.68,No Churn
1068,9.0,9.0,4,Laptop & Accessory,4,Single,7,0,3.0,169.25,No Churn
1069,10.0,12.0,3,Laptop & Accessory,1,Married,5,0,1.0,165.02,No Churn
1070,8.0,17.0,4,Mobile Phone,4,Married,3,0,1.0,145.08,No Churn
1071,25.0,6.0,4,Others,3,Married,1,0,9.0,299.99,No Churn
1072,14.0,8.0,3,Grocery,4,Single,2,0,4.0,260.15,No Churn
1073,0.0,6.0,4,Laptop & Accessory,5,Married,2,0,7.0,197.14,Churn
1074,1.0,16.0,5,Mobile Phone,3,Divorced,2,1,1.0,158.88,Churn
1075,14.0,16.0,5,Laptop & Accessory,4,Single,2,0,9.0,161.51,No Churn
1077,3.0,9.0,4,Mobile Phone,4,Married,2,0,3.0,156.8,No Churn
1079,19.0,36.0,4,Mobile Phone,1,Single,7,0,4.0,159.52,No Churn
1080,20.0,8.0,4,Mobile,1,Single,2,1,2.0,132.94,No Churn
1082,28.0,29.0,4,Grocery,3,Married,5,0,8.0,299.26,No Churn
1084,5.0,31.0,4,Laptop & Accessory,1,Single,4,0,5.0,177.38,No Churn
1085,0.0,6.0,3,Laptop & Accessory,3,Married,1,0,2.0,148.98,No Churn
1088,0.0,30.0,5,Mobile Phone,2,Single,2,1,0.0,111.18,Churn
1089,5.0,15.0,2,Mobile Phone,4,Single,11,0,3.0,146.09,No Churn
1090,5.0,10.0,4,Mobile Phone,5,Married,3,1,4.0,155.65,No Churn
1091,15.0,8.0,3,Grocery,5,Divorced,1,0,7.0,276.65,No Churn
1092,2.0,15.0,4,Mobile Phone,1,Single,3,0,3.0,158.1,No Churn
1093,1.0,15.0,3,Laptop & Accessory,4,Divorced,2,0,3.0,173.51,No Churn
1094,24.0,9.0,4,Others,3,Married,4,1,8.0,317.37,No Churn
1095,16.0,31.0,4,Fashion,5,Divorced,3,1,9.0,199.06,No Churn
1096,1.0,14.0,6,Laptop & Accessory,3,Single,3,1,7.0,185.74,Churn
1097,0.0,11.0,3,Mobile,3,Single,2,1,0.0,128.51,Churn
1099,20.0,14.0,4,Laptop & Accessory,3,Divorced,4,0,1.0,177.58,No Churn
1100,20.0,11.0,3,Others,3,Divorced,5,0,1.0,283.0,No Churn
1101,7.0,9.0,5,Laptop & Accessory,5,Single,4,0,12.0,147.59,No Churn
1102,19.0,13.0,3,Laptop & Accessory,3,Divorced,3,0,0.0,152.58,No Churn
1103,9.0,10.0,4,Fashion,1,Married,8,0,9.0,203.23,No Churn
1104,13.0,8.0,1,Laptop & Accessory,4,Married,2,0,7.0,142.44,No Churn
1105,6.0,7.0,4,Laptop & Accessory,4,Married,3,0,10.0,187.2,No Churn
1106,10.0,16.0,4,Laptop & Accessory,2,Married,3,1,0.0,166.94,No Churn
1107,9.0,9.0,4,Mobile Phone,1,Married,3,0,3.0,145.14,No Churn
1108,1.0,15.0,6,Mobile Phone,5,Married,3,0,2.0,149.51,No Churn
1109,1.0,8.0,4,Mobile,4,Divorced,1,0,4.0,132.01,No Churn
1111,5.0,7.0,3,Fashion,1,Married,2,0,7.0,204.22,No Churn
1112,8.0,14.0,4,Mobile Phone,3,Married,2,1,8.0,148.08,No Churn
1113,1.0,7.0,4,Laptop & Accessory,4,Married,3,0,5.0,188.97,No Churn
1114,0.0,14.0,1,Mobile,3,Married,8,0,2.0,135.17,No Churn
1116,18.0,35.0,2,Grocery,2,Divorced,5,1,12.0,258.2,No Churn
1117,5.0,12.0,4,Laptop & Accessory,1,Married,3,0,3.0,179.76,No Churn
1118,6.0,10.0,3,Laptop & Accessory,4,Married,6,0,7.0,130.55,No Churn
1120,9.0,8.0,4,Fashion,3,Divorced,2,0,0.0,175.96,No Churn
1121,24.0,11.0,3,Grocery,4,Married,2,1,10.0,240.26,No Churn
1122,10.0,7.0,5,Laptop & Accessory,3,Married,2,0,3.0,168.74,No Churn
1123,22.0,9.0,3,Laptop & Accessory,4,Divorced,5,0,3.0,206.2,No Churn
1124,6.0,7.0,4,Mobile Phone,1,Married,2,0,3.0,148.14,No Churn
1125,3.0,9.0,4,Laptop & Accessory,3,Married,3,0,3.0,171.49,No Churn
1129,5.0,10.0,3,Mobile Phone,4,Married,3,0,2.0,139.31,No Churn
1130,10.0,16.0,3,Laptop & Accessory,4,Single,3,1,1.0,141.97,No Churn
1131,27.0,25.0,3,Fashion,4,Divorced,3,0,1.0,207.25,No Churn
1133,15.0,8.0,4,Laptop & Accessory,2,Single,4,0,0.0,167.81,No Churn
1134,5.0,8.0,3,Laptop & Accessory,4,Married,1,1,2.0,140.78,No Churn
1135,21.0,9.0,5,Mobile Phone,1,Married,11,1,1.0,148.8,Churn
1136,14.0,9.0,4,Mobile Phone,3,Married,4,0,3.0,145.01,No Churn
1137,11.0,6.0,1,Mobile,3,Divorced,2,0,0.0,128.44,No Churn
1139,14.0,9.0,4,Others,3,Married,2,0,13.0,305.41,No Churn
1140,0.0,10.0,4,Laptop & Accessory,2,Single,2,1,3.0,144.87,No Churn
1141,19.0,31.0,4,Mobile Phone,4,Single,3,0,5.0,146.77,No Churn
1142,3.0,21.0,4,Fashion,5,Married,3,0,7.0,171.4,No Churn
1143,11.0,6.0,4,Fashion,3,Single,10,1,0.0,153.81,Churn
1144,3.0,18.0,3,Laptop & Accessory,3,Single,1,0,4.0,165.77,No Churn
1145,10.0,15.0,4,Laptop & Accessory,4,Married,2,0,3.0,141.89,No Churn
1146,21.0,13.0,3,Laptop & Accessory,5,Married,5,0,2.0,154.86,No Churn
1147,14.0,7.0,4,Laptop & Accessory,1,Married,6,0,4.0,190.13,No Churn
1150,5.0,6.0,3,Mobile,5,Single,2,0,0.0,129.56,No Churn
1151,9.0,15.0,4,Mobile Phone,3,Single,3,0,5.0,168.23,No Churn
1152,28.0,10.0,4,Laptop & Accessory,5,Married,4,0,6.0,184.4,No Churn
1153,9.0,28.0,4,Laptop & Accessory,1,Married,3,1,8.0,165.14,No Churn
1154,24.0,6.0,4,Others,3,Married,6,1,1.0,318.31,No Churn
1155,0.0,31.0,4,Mobile,4,Single,5,1,2.0,123.13,Churn
1157,2.0,15.0,3,Mobile,3,Married,10,0,2.0,129.74,No Churn
1158,8.0,9.0,5,Mobile Phone,5,Single,3,0,4.0,168.81,No Churn
1159,1.0,12.0,4,Mobile,2,Single,3,0,1.0,135.51,No Churn
1161,17.0,7.0,3,Mobile,1,Married,5,1,2.0,131.95,No Churn
1162,10.0,19.0,3,Laptop & Accessory,1,Married,2,0,7.0,142.85,No Churn
1164,12.0,6.0,2,Fashion,2,Married,1,0,7.0,196.13,No Churn
1165,16.0,7.0,4,Mobile Phone,5,Married,5,0,3.0,150.76,No Churn
1166,6.0,15.0,5,Laptop & Accessory,4,Married,3,1,10.0,177.28,No Churn
1168,9.0,15.0,4,Mobile Phone,2,Divorced,3,0,3.0,150.72,No Churn
1169,17.0,17.0,4,Mobile Phone,1,Single,2,0,8.0,149.55,No Churn
1170,12.0,17.0,3,Fashion,1,Married,2,0,7.0,176.54,Churn
1171,16.0,33.0,3,Fashion,5,Married,9,0,1.0,208.2,No Churn
1173,25.0,8.0,4,Mobile,2,Single,8,0,2.0,132.12,No Churn
1175,12.0,12.0,1,Fashion,3,Married,3,0,6.0,182.37,No Churn
1176,7.0,9.0,3,Mobile Phone,2,Divorced,1,0,2.0,137.37,No Churn
1177,12.0,12.0,4,Fashion,5,Married,5,0,7.0,199.91,No Churn
1178,1.0,31.0,4,Mobile Phone,4,Married,3,1,1.0,149.08,Churn
1179,18.0,10.0,3,Laptop & Accessory,4,Married,2,0,8.0,144.47,No Churn
1180,7.0,9.0,3,Laptop & Accessory,1,Single,1,0,4.0,177.56,No Churn
1181,14.0,31.0,4,Laptop & Accessory,2,Married,3,0,8.0,158.19,No Churn
1182,12.0,7.0,4,Fashion,5,Married,3,0,12.0,260.82,No Churn
1185,25.0,9.0,6,Laptop & Accessory,4,Married,7,0,3.0,179.82,No Churn
1187,29.0,7.0,4,Others,5,Single,2,1,14.0,315.45,No Churn
1189,6.0,14.0,1,Mobile,5,Married,7,0,6.0,131.43,No Churn
1190,10.0,7.0,4,Laptop & Accessory,2,Single,6,0,1.0,191.53,No Churn
1191,1.0,36.0,5,Laptop & Accessory,3,Single,3,0,9.0,170.08,Churn
1192,1.0,19.0,4,Mobile Phone,1,Single,3,0,5.0,151.47,No Churn
1193,23.0,23.0,4,Fashion,5,Married,6,0,11.0,232.69,No Churn
1194,4.0,35.0,4,Laptop & Accessory,1,Married,2,0,7.0,154.68,No Churn
1195,13.0,8.0,3,Others,3,Married,1,0,12.0,280.41,No Churn
1196,27.0,9.0,5,Fashion,4,Divorced,4,0,13.0,200.25,No Churn
1198,31.0,13.0,4,Mobile Phone,3,Divorced,10,0,3.0,147.67,No Churn
1199,26.0,29.0,3,Grocery,1,Single,7,0,8.0,242.75,No Churn
1200,5.0,14.0,4,Fashion,2,Single,3,1,11.0,196.43,No Churn
1201,0.0,8.0,1,Laptop & Accessory,3,Single,1,0,7.0,165.0,No Churn
1204,4.0,16.0,4,Laptop & Accessory,5,Married,3,0,11.0,155.72,No Churn
1205,7.0,14.0,1,Laptop & Accessory,3,Married,2,0,8.0,167.99,No Churn
1206,0.0,10.0,5,Fashion,1,Married,2,0,8.0,204.0,Churn
1208,21.0,11.0,4,Laptop & Accessory,1,Single,3,1,8.0,166.63,No Churn
1209,60.0,27.0,3,Grocery,1,Married,5,1,0.0,278.75,No Churn
1211,1.0,32.0,5,Mobile Phone,4,Divorced,7,0,2.0,150.46,Churn
1212,13.0,25.0,3,Laptop & Accessory,1,Married,9,1,7.0,127.41,No Churn
1213,20.0,20.0,3,Laptop & Accessory,3,Married,4,1,2.0,145.91,No Churn
1215,5.0,15.0,4,Grocery,4,Single,5,0,1.0,289.22,No Churn
1217,22.0,24.0,3,Laptop & Accessory,2,Married,2,1,7.0,168.04,No Churn
1218,30.0,16.0,4,Mobile Phone,3,Divorced,4,0,4.0,154.42,No Churn
1219,14.0,12.0,3,Fashion,1,Single,4,1,0.0,235.91000000000005,No Churn
1222,1.0,11.0,3,Laptop & Accessory,1,Single,2,0,2.0,149.08,No Churn
1223,7.0,15.0,4,Laptop & Accessory,5,Married,4,0,3.0,188.92,No Churn
1227,11.0,12.0,4,Laptop & Accessory,1,Married,9,0,5.0,188.47,No Churn
1228,15.0,12.0,2,Mobile Phone,3,Married,4,1,4.0,146.27,No Churn
1230,8.0,24.0,3,Laptop & Accessory,5,Married,1,0,4.0,0.0,No Churn
1232,10.0,9.0,5,Fashion,3,Divorced,3,0,1.0,200.96,No Churn
1233,0.0,14.0,3,Laptop & Accessory,3,Married,1,1,4.0,149.07,No Churn
1234,12.0,9.0,5,Mobile Phone,4,Single,3,0,4.0,149.4,No Churn
1235,6.0,19.0,3,Mobile,1,Single,4,0,2.0,134.52,No Churn
1237,10.0,33.0,1,Laptop & Accessory,3,Single,5,1,3.0,163.97,Churn
1238,0.0,12.0,4,Mobile,2,Single,2,1,0.0,129.26,Churn
1239,30.0,8.0,4,Grocery,2,Single,4,1,3.0,237.26,No Churn
1240,20.0,21.0,4,Mobile Phone,4,Divorced,11,1,4.0,174.63,Churn
1242,1.0,11.0,2,Mobile Phone,5,Married,4,0,3.0,153.19,No Churn
1243,29.0,15.0,3,Mobile,3,Married,3,0,3.0,129.42,No Churn
1245,1.0,9.0,2,Laptop & Accessory,3,Married,3,0,8.0,177.06,No Churn
1246,11.0,9.0,5,Laptop & Accessory,1,Married,7,0,1.0,176.63,No Churn
